Latitude,Longitude,Safety Score
52.27919,-1.5457,37.34091432352202
52.27921,-1.54481,34.45502814370499
52.27921,-1.54475,34.10173926319454
52.27924,-1.54296,33.327109657377406
52.27925,-1.54465,34.10173926319454
52.2792974,-1.5298098,35.010197373685706
52.2793,-1.52981,37.05265143171003
52.27932,-1.54493,34.39966382418822
52.2794,-1.54578,37.34091432352202
52.27956,-1.54404,33.54856693544451
52.27957,-1.5459,37.45164296255558
52.27959,-1.54576,37.45164296255558
52.27962,-1.54523,34.22140165972589
52.27963,-1.5455,37.23018568448847
52.27966,-1.5453,36.91174655370798
52.27968,-1.54216,32.61564060061268
52.28023,-1.54084,31.73339243920658
52.28029,-1.53424,28.346621969332602
52.28032,-1.54049,31.389596263993315
52.28036,-1.53431,28.02882454405751
52.28037,-1.53437,27.918095905023947
52.28038,-1.53972,30.563800731187797
52.28051,-1.53824,30.754502605148307
52.2807,-1.5345,27.512168761040545
52.280894,-1.5445862,31.40918800128024
52.28097,-1.53633,30.922522632042632
52.28099,-1.5346,27.60561640954681
52.281047,-1.5446566,31.187730723213136
52.2812,-1.54693,30.905772073988885
52.2812049,-1.5469286,32.77123008925606
52.28125,-1.54696,30.905772073988885
52.28125,-1.5467,30.905772073988885
52.28128,-1.5466,30.961136393505665
52.28128,-1.54569,30.961136393505665
52.28128,-1.5456,30.668734844136825
52.2812835,-1.5456867,32.82659440877284
52.28129,-1.54557,30.668734844136825
52.28131,-1.54571,30.961136393505665
52.28131,-1.53498,31.787840101670128
52.28136,-1.54574,30.961136393505665
52.28136,-1.54553,30.668734844136825
52.28138,-1.54705,30.961136393505665
52.28138,-1.54587,30.961136393505665
52.28138,-1.53471,31.532285848942063
52.281384,-1.5470501,32.82659440877284
52.28139,-1.5455,30.55800620510327
52.281418,-1.548171,44.242972711175334
52.28143,-1.54555,30.668734844136825
52.28151,-1.53475,30.05019489270356
52.28164,-1.5455,30.55800620510327
52.2818,-1.53485,30.510286554260535
52.28182,-1.54551,30.55800620510327
52.2821,-1.54798,49.02719267991
52.28211,-1.54861,48.95577043638656
52.28211,-1.54772,49.08255699942678
52.28211,-1.53491,30.673798826451005
52.28214,-1.54747,49.129984509044654
52.28217,-1.54919,47.973215570705804
52.28218,-1.54736,49.129984509044654
52.28223,-1.5349,31.005984743551664
52.28226,-1.54954,47.75652239296801
52.28236,-1.5312424,50.040234373026415
52.28236,-1.53124,48.71389849516382
52.28238,-1.54998,47.75652239296801
52.2824,-1.55,47.75652239296801
52.28243,-1.53486,31.090231253801704
52.28244,-1.55252,44.40283774973474
52.28245,-1.55269,44.85367056753745
52.28245,-1.54654,49.129984509044654
52.28248,-1.55215,47.650114657649176
52.28248,-1.55028,46.96337754686403
52.28248,-1.55001,47.75652239296801
52.28249,-1.55023,46.96337754686403
52.28251,-1.55001,47.75652239296801
52.28252,-1.55296,44.85367056753745
52.28252,-1.55016,47.02871696129512
52.28252,-1.55003,47.72438281872643
52.28253,-1.55049,47.0196115793291
52.28253,-1.54557,31.231611616459393
52.28254,-1.55011,47.67019644417035
52.2826,-1.5515,47.69105530782699
52.28261,-1.55083,47.67377851673701
52.28264,-1.55111,47.69105530782699
52.28269,-1.54571,31.49994167353296
52.2827,-1.55337,44.85367056753745
52.28273,-1.54573,48.976086711700894
52.28273,-1.53471,30.729979903465438
52.28275,-1.55349,44.85367056753745
52.28279,-1.55354,44.85367056753745
52.28279,-1.5458,31.49994167353296
52.28282,-1.54582,31.49994167353296
52.28285,-1.54579,31.49994167353296
52.28291,-1.53462,30.69399038111996
52.28294,-1.54552,31.231611616459393
52.28295,-1.55368,44.85367056753745
