Location,Place Name,Place Type,Latitude,Longitude
"52.290777,-1.533494",THE RISING SUN,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2935837,-1.5304066
"52.290777,-1.533494",Ruby,"restaurant, food, point_of_interest, establishment",52.2913297,-1.533412
"52.290777,-1.533494",Pizza Express,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2879908,-1.5350743
"52.290777,-1.533494",Kayal,"restaurant, food, point_of_interest, establishment",52.2901701,-1.5375318
"52.290777,-1.533494",Domino's Pizza - Leamington Spa,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2904625,-1.5328971
"52.290777,-1.533494",Subway,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2922455,-1.5335546
"52.290777,-1.533494",Bistrot Pierre - Leamington Spa,"restaurant, food, point_of_interest, establishment",52.2908969,-1.5337387
"52.290777,-1.533494",Regency Fish Ltd,"restaurant, food, point_of_interest, store, establishment",52.2903136,-1.5371485
"52.290777,-1.533494",The Royal Pug,"bar, restaurant, food, point_of_interest, establishment",52.290654,-1.532623
"52.290777,-1.533494",Carluccio's,"cafe, restaurant, food, point_of_interest, store, establishment",52.2906914,-1.5347101
"52.290777,-1.533494",Côte Leamington Spa,"restaurant, bar, food, point_of_interest, establishment",52.2898984,-1.5338861
"52.290777,-1.533494",YO! Leamington Spa,"restaurant, food, point_of_interest, establishment",52.2899415,-1.5341955
"52.290777,-1.533494",Turtle Bay Leamington Spa,"bar, restaurant, food, point_of_interest, establishment",52.2898422,-1.5344003
"52.290777,-1.533494",Gourmet Burger Kitchen,"restaurant, food, point_of_interest, establishment",52.2896766,-1.5342454
"52.290777,-1.533494",Altoria Nightclub,"night_club, bar, point_of_interest, establishment",52.2920433,-1.5370982
"52.290777,-1.533494",Smack,"night_club, point_of_interest, establishment",52.2930287,-1.5368854
"52.290777,-1.533494",Clink Cellar Bar,"bar, night_club, restaurant, food, point_of_interest, establishment",52.2917372,-1.5379442
"52.290777,-1.533494",Habanaloko salsa dance holidays,"night_club, point_of_interest, establishment",52.2933872,-1.5316588
"52.290777,-1.533494",Spinetti’s Rooftop,"night_club, point_of_interest, establishment",52.2920316,-1.5320826
"52.290777,-1.533494",Ember Home,"furniture_store, point_of_interest, home_goods_store, store, establishment",52.2882019,-1.5351008
"52.290777,-1.533494",Hastings Drummond Ltd,"general_contractor, furniture_store, point_of_interest, home_goods_store, store, establishment",52.2922404,-1.533587
"52.290777,-1.533494",Sharps Fitted Furniture Leamington Spa,"furniture_store, point_of_interest, home_goods_store, store, establishment",52.2933321,-1.5362661
"52.290777,-1.533494",NIck Carpet & Vinyl Fitter,"furniture_store, point_of_interest, home_goods_store, store, establishment",52.2900964,-1.5383277
"52.290777,-1.533494","Hammonds Fitted Wardrobes, Sliding Wardrobes and Home Office Furniture","furniture_store, point_of_interest, home_goods_store, store, establishment",52.2934693,-1.5363238
"52.290777,-1.533494",Collective Home Store,"furniture_store, point_of_interest, home_goods_store, store, establishment",52.290905,-1.5333289
"52.290777,-1.533494",Flying Tiger Copenhagen,"furniture_store, point_of_interest, home_goods_store, store, establishment",52.2921811,-1.5360176
"52.290777,-1.533494",Tom Howley,"general_contractor, furniture_store, point_of_interest, home_goods_store, store, establishment",52.2930192,-1.5362407
"52.290777,-1.533494",coodart,"electronics_store, furniture_store, point_of_interest, home_goods_store, store, establishment",52.2884147,-1.5363578
"52.290777,-1.533494",Locke & England,"finance, furniture_store, point_of_interest, home_goods_store, store, establishment",52.2930804,-1.5351997
"52.290777,-1.533494",Lee Longlands,"furniture_store, point_of_interest, home_goods_store, store, establishment",52.291183,-1.5369509
"52.290777,-1.533494",Whartons of Leamington Spa,"furniture_store, point_of_interest, home_goods_store, store, establishment",52.292279,-1.531818
"52.290777,-1.533494",Peter Staunton Interior Design,"general_contractor, furniture_store, point_of_interest, home_goods_store, store, establishment",52.2905026,-1.5367046
"52.290777,-1.533494",The Bed Factory(Leamington)Ltd,"furniture_store, point_of_interest, home_goods_store, store, establishment",52.2906451,-1.5327633
"52.290777,-1.533494",Stone The Crows,"furniture_store, point_of_interest, home_goods_store, store, establishment",52.2902278,-1.5363606
"52.290777,-1.533494",Door & Kitchen Store,"furniture_store, point_of_interest, home_goods_store, store, establishment",52.2925237,-1.5323118
"52.290777,-1.533494",Vitsœ,"furniture_store, point_of_interest, home_goods_store, store, establishment",52.2903877,-1.534385
"52.290777,-1.533494",Søstrene Grene,"clothing_store, furniture_store, point_of_interest, home_goods_store, store, establishment",52.2913554,-1.5347492
"52.290777,-1.533494",Aristocraft Kitchens & Bedrooms - Leamington Spa,"furniture_store, point_of_interest, home_goods_store, store, establishment",52.2922581,-1.532818
"52.290777,-1.533494",The Cotswold Company Leamington Spa,"furniture_store, point_of_interest, home_goods_store, store, establishment",52.2917554,-1.5355717
"52.290777,-1.533494",Jephson Gardens,"park, tourist_attraction, point_of_interest, establishment",52.2885802,-1.530455
"52.290777,-1.533494",Pump Room Gardens,"park, tourist_attraction, point_of_interest, establishment",52.2873195,-1.5356468
